,PDB_IDs
0,3vd4
1,1ps3
2,3d52
3,3dx1
4,3d51
5,3ddf
6,3d50
7,3d4y
8,3ddg
9,3dx3
10,2f7p
11,3dx4
12,2f7o
13,3ejr
14,3w5n
15,2x09
16,2vzr
17,3w37
18,4fys
19,4k5p
20,4r5t
21,3q44
22,3t8v
23,3ebi
24,3lpp
25,2vc9
26,2zxg
27,3rsr
28,4kx8
29,3lq2
30,3lpl
31,2qta
32,1uho
33,3l4w
34,3ctt
35,3l4z
36,3l4v
37,3l4x
38,3l4y
39,3l4u
40,4cu8
41,4cu7
42,2vo5
43,2vjx
44,2vmf
45,2vqt
46,2vl4
47,2vot
48,3l7d
49,3l7b
50,3l79
51,3g2h
52,3g2l
53,3g2n
54,3g2j
55,3g2k
56,3g2i
57,4el5
58,3ebp
59,2qrp
60,2g9q
61,1jzs
62,4b9z
63,4dv8
64,1n1m
65,2ole
66,2oag
67,1ez9
68,2pnc
69,2wzs
70,2wvz
71,4oc1
72,4oc5
73,4ngn
74,3sjf
75,4ngp
76,3iww
77,4oc2
78,4oc3
79,2xej
80,4ngm
81,2xei
82,2jke
83,2zq0
84,2w66
85,2jiw
86,2xm2
87,2w4x
88,2w67
89,2xm1
90,2j47
91,2wca
92,2j4g
93,2vvn
94,2vvs
95,3hig
96,2aj8
97,3t6b
98,1h2t
99,3ff3
100,3fed
101,2vw2
102,2vw1
103,1r1j
104,1r1h
105,3lvw
106,4b76
107,4b73
108,3d2e
109,1k1y
110,4bb9
111,4ly9
112,4fl1
113,4fl2
114,3fqe
115,4ca6
116,2xyd
117,4bzs
118,4bxk
119,3nxq
120,2epn
121,2rkd
122,3moh
123,2rka
124,3mof
125,2rk8
126,2rke
127,3moe
128,4l2l
129,3fh7
130,2r59
131,2vj8
132,1thz
133,2b1i
134,1oz0
135,4ezr
136,4ezx
137,2x96
138,2x95
139,2x97
140,4ca8
141,2x91
142,2xhm
143,1j36
144,2x8z
145,1x38
146,1x39
147,1wcq
148,2cbj
149,2wb5
150,1pkx
151,3bkk
152,3bkl
153,3l3n
154,2oc2
155,2xy9
156,4ca5
157,1o86
158,3drf
159,3i73
160,3jrx
161,3ppm
162,1gpk
163,3zv7
164,1gpn
165,1h23
166,1h22
167,1e66
168,1hk4
169,4ih5
170,4ih6
171,4ih7
172,3mf5
173,2d3z
174,1os5
175,2d3u
176,3hky
177,3gnw
178,1n4k
179,3aru
