,0
0,4rdn
1,4mo4
2,3s0b
3,4qxr
4,3fwv
5,1qin
6,4b5d
7,3sus
8,3b26
9,2v25
10,4oc2
11,4f5y
12,1bai
13,2avo
14,1ppi
15,3vf7
16,3ckz
17,2wky
18,1fkf
19,3eax
20,1hdq
21,3nxq
22,1e2k
23,3dx3
24,3ibi
25,1gx8
26,2ygf
27,2qbs
28,4oc5
29,3bxh
30,3sut
31,1yc4
32,1jmf
33,4gih
34,2vwo
35,3s0e
36,4hp0
37,3d83
38,3ibn
39,3cd5
40,1m7y
41,1e2l
42,3dx4
43,4lzs
44,3kgu
45,4f9u
46,3w5n
47,3tcg
48,2bok
49,1bdq
50,4mc1
51,1rpj
52,1zsf
53,4jpx
54,1ew8
55,3s56
56,2qnq
57,1dhj
58,4ij1
59,1fkh
60,4clj
61,1k1y
62,4ly9
63,4dzy
64,3su1
65,4acc
66,3u5j
67,1erb
68,4q4p
69,2bfq
70,4eor
71,3f1a
72,2e94
73,2x7u
74,4jyb
75,1k4h
76,4mc6
77,2zx7
78,2gvv
79,3mho
80,1ork
81,2i6b
82,3su6
83,1g2o
84,3w9k
85,2r2m
86,3l4y
87,2x4z
88,3bxf
89,3pcf
90,4jv8
91,3s3v
92,1i80
93,2pqz
94,2pwc
95,4ijh
96,4b6p
97,3gba
98,3l7d
99,3zll
100,1jaq
101,4duh
102,4io2
103,4u4x
104,1hn4
105,1bnv
106,3pfp
107,1k1l
108,3ebl
109,1xug
110,4hy1
111,3qps
112,1ndz
113,1fao
114,4kcx
115,2qg2
116,3l7c
117,3f18
118,4ef6
119,4afg
120,3cdb
121,3ibu
122,2pwd
123,1z6e
124,2wm0
125,2v8w
126,1owh
127,3bra
128,1mrs
129,2qhz
130,1o7o
131,4nze
132,2hl4
133,2gsu
134,1laf
135,1e1x
136,2avs
137,3d1y
138,2p16
139,4elh
140,1bnq
141,3ekv
142,4io5
143,3veh
144,4ajl
145,4u43
146,1fh9
147,4h3f
148,1g4j
149,3suf
150,3vje
151,3zi8
152,3odu
153,4f39
154,2vw1
155,1v0k
156,1bn4
157,4fp1
158,4lps
159,4aje
160,2oym
161,6cpa
162,4cig
163,4efs
164,3pju
165,3egt
166,2zxg
167,2gvj
168,1siv
169,2i3h
170,3sym
171,4b9z
172,4np2
173,4l9i
174,4jv6
175,1yet
176,1lhu
177,1fh7
178,4hpi
179,3okv
180,1v0l
181,4elf
182,1bn3
183,4n9c
184,1bhf
185,3hww
186,3ekx
187,2fle
188,3ed0
189,4n6g
190,4oeu
191,1e1v
192,1r9l
193,1lah
194,4buq
195,1pzi
196,1c87
197,2jjb
198,4j3l
199,3f16
200,2r1y
201,3n2v
202,3l1n
203,4jyc
204,2x7t
205,2p2a
206,1g74
207,2hoc
208,4tmk
209,1qji
210,4dv8
211,3ime
212,1fkn
213,3fx6
214,2v2q
215,2jiw
216,3n1c
217,3obq
218,3d78
219,3bxg
220,3l4x
221,3n76
222,4el0
223,4aj4
224,3u5l
225,3u3u
226,2qnp
227,1ew9
228,4jpy
229,4eo8
230,1ucn
231,4cjr
232,1fki
233,4aoi
234,1o2j
235,2boj
236,2e92
237,3d2e
238,4n3l
239,1yei
240,3ama
241,4q4q
242,3d8w
243,3mhi
244,3s6t
245,4n6z
246,4ocq
247,1ui0
248,3su0
249,3igp
250,2v2v
251,2whp
252,3tfp
253,1nm6
254,3jrx
255,1jmg
256,3s0d
257,1zpa
258,1zvx
259,1i2s
260,4gfm
261,3l4v
262,3rlr
263,2r2b
264,3d7z
265,3suu
266,4fys
267,4ly1
268,1g45
269,4bs0
270,4ai5
271,2zx8
272,3b7j
273,3kgt
274,4lzr
275,1g7v
276,4jym
